sample,outcome,spec,coefname,b,se,p,N
macro,alive,full_sample_pre1972,interaction,-377.9377442547158,196.21104,.05695029,4220
macro,alive,full_sample_pre1972,interaction2,-180.7673364902011,107.14964,.094741389,4220
macro,alive,full_sample_reference,interaction,-477.9992157123089,238.85851,.048110079,5518
macro,alive,full_sample_reference,interaction2,-176.3478064432542,148.67668,.23841533,5518
macro,alive,industrial_core_share_1950_area,interaction,-301.9936888165431,186.86424,.10938614,5314
macro,alive,industrial_core_share_1950_area,interaction2,-75.47337893921902,96.753769,.43729699,5314
macro,alive,industrial_core_share_1950_area,post73_f,-313.2005638666095,183.90253,.09182287,5314
macro,alive,industrial_core_share_1950_area,post73_m,-225.1226341863134,124.86494,.074569888,5314
macro,alive,industrial_core_share_1950_area,proxy73_f,64.82513328510437,157.7946,.68212992,5314
macro,alive,industrial_core_share_1950_area,proxy73_m,-9.613925258992539,151.08423,.94939625,5314
macro,alive,industrial_core_share_1950_area,proxy_f,-34.89835705042169,111.01215,.75393301,5314
macro,alive,industrial_core_share_1950_area,proxy_m,60.74320397760941,105.1915,.56499916,5314
macro,alive,manuf_trade_share_1950_area,interaction,-315.3016260447894,214.08636,.14411648,5314
macro,alive,manuf_trade_share_1950_area,interaction2,72.69153378012469,198.51617,.71504915,5314
macro,alive,manuf_trade_share_1950_area,post73_f,-314.3572500068576,215.96303,.14879808,5314
macro,alive,manuf_trade_share_1950_area,post73_m,-101.2995550879534,180.17433,.57528305,5314
macro,alive,manuf_trade_share_1950_area,proxy73_f,319.0725219012156,263.93063,.22969167,5314
macro,alive,manuf_trade_share_1950_area,proxy73_m,-218.0673416495328,235.7457,.35730398,5314
macro,alive,manuf_trade_share_1950_area,proxy_f,267.9255056258285,240.48686,.26804864,5314
macro,alive,manuf_trade_share_1950_area,proxy_m,-197.5873361055934,213.66016,.35742667,5314
macro,alive,nonag_share_1950_area,interaction,-231.7137046312036,154.44543,.13685423,5314
macro,alive,nonag_share_1950_area,interaction2,16.40082395503547,128.08185,.89838046,5314
macro,alive,nonag_share_1950_area,post73_f,-217.0718207842843,153.61728,.1609035,5314
macro,alive,nonag_share_1950_area,post73_m,-93.48376756029003,129.93573,.47362274,5314
macro,alive,nonag_share_1950_area,proxy73_f,-1.945061243743294,148.97041,.98960996,5314
macro,alive,nonag_share_1950_area,proxy73_m,68.77437757712607,140.76907,.62627792,5314
macro,alive,nonag_share_1950_area,proxy_f,-59.76987094272106,92.960503,.52179903,5314
macro,alive,nonag_share_1950_area,proxy_m,95.68043508493253,90.586456,.29354027,5314
macro,alive,oil_sensitive_share_1950_area,interaction,-290.5129761096467,175.78131,.1016942,5314
macro,alive,oil_sensitive_share_1950_area,interaction2,-57.25618804873513,94.400345,.54561275,5314
macro,alive,oil_sensitive_share_1950_area,post73_f,-297.2675132089403,170.59764,.084655903,5314
macro,alive,oil_sensitive_share_1950_area,post73_m,-163.8849842688385,111.73669,.14575835,5314
macro,alive,oil_sensitive_share_1950_area,proxy73_f,81.2009119327239,139.0042,.56049621,5314
macro,alive,oil_sensitive_share_1950_area,proxy73_m,-15.80898716380717,135.84793,.90760285,5314
macro,alive,oil_sensitive_share_1950_area,proxy_f,-57.30397502791246,115.84795,.6219905,5314
macro,alive,oil_sensitive_share_1950_area,proxy_m,84.81409548366136,110.64146,.44523972,5314
macro,alive,proxy_sample_baseline,interaction,-468.0749602518874,238.36131,.052485909,5314
macro,alive,proxy_sample_baseline,interaction2,-199.2910715430219,138.83897,.15445419,5314
macro,alive,proxy_sample_pre1972,interaction,-372.5669154144626,196.81143,.061399862,4068
macro,alive,proxy_sample_pre1972,interaction2,-203.0046309154339,102.16376,.049796756,4068
