country,code,cohort,completed_cohort_fertility,spain
Portugal,PRT,1925,2.98,0
Portugal,PRT,1926,2.985,0
Portugal,PRT,1927,2.963,0
Portugal,PRT,1928,2.966,0
Portugal,PRT,1929,2.964,0
Portugal,PRT,1930,2.925,0
Portugal,PRT,1931,2.955,0
Portugal,PRT,1932,2.949,0
Portugal,PRT,1933,2.923,0
Portugal,PRT,1934,2.91,0
Portugal,PRT,1935,2.876,0
Portugal,PRT,1936,2.864,0
Portugal,PRT,1937,2.847,0
Portugal,PRT,1938,2.856,0
Portugal,PRT,1939,2.801,0
Portugal,PRT,1940,2.663,0
Portugal,PRT,1941,2.606,0
Portugal,PRT,1942,2.548,0
Portugal,PRT,1943,2.527,0
Portugal,PRT,1944,2.495,0
Portugal,PRT,1945,2.405,0
Portugal,PRT,1946,2.35,0
Portugal,PRT,1947,2.256,0
Portugal,PRT,1948,2.204,0
Portugal,PRT,1949,2.129,0
Portugal,PRT,1950,2.093,0
Portugal,PRT,1951,2.07,0
Portugal,PRT,1952,2.055,0
Portugal,PRT,1953,2.035,0
Portugal,PRT,1954,2.027,0
Portugal,PRT,1955,2.039,0
Portugal,PRT,1956,2.033,0
Portugal,PRT,1957,1.989,0
Portugal,PRT,1958,1.989,0
Portugal,PRT,1959,1.947,0
Portugal,PRT,1960,1.909,0
Portugal,PRT,1961,1.884,0
Portugal,PRT,1962,1.897,0
Portugal,PRT,1963,1.849,0
Portugal,PRT,1964,1.839,0
Portugal,PRT,1965,1.838,0
Portugal,PRT,1966,1.819,0
Portugal,PRT,1967,1.803,0
Portugal,PRT,1968,1.757,0
Portugal,PRT,1969,1.725,0
Portugal,PRT,1970,1.692,0
Portugal,PRT,1971,1.665,0
Portugal,PRT,1972,1.656,0
Portugal,PRT,1973,1.636,0
Spain,ESP,1907,3.062,1
Spain,ESP,1908,3.011,1
Spain,ESP,1909,2.941,1
Spain,ESP,1910,2.854,1
Spain,ESP,1911,2.77,1
Spain,ESP,1912,2.697,1
Spain,ESP,1913,2.635,1
Spain,ESP,1914,2.585,1
Spain,ESP,1915,2.549,1
Spain,ESP,1916,2.527,1
Spain,ESP,1917,2.517,1
Spain,ESP,1918,2.515,1
Spain,ESP,1919,2.515,1
Spain,ESP,1920,2.514,1
Spain,ESP,1921,2.516,1
Spain,ESP,1922,2.521,1
Spain,ESP,1923,2.528,1
Spain,ESP,1924,2.529,1
Spain,ESP,1925,2.53,1
Spain,ESP,1926,2.534,1
Spain,ESP,1927,2.543,1
Spain,ESP,1928,2.558,1
Spain,ESP,1929,2.579,1
Spain,ESP,1930,2.603,1
Spain,ESP,1931,2.631,1
Spain,ESP,1932,2.657,1
Spain,ESP,1933,2.674,1
Spain,ESP,1934,2.682,1
Spain,ESP,1935,2.679,1
Spain,ESP,1936,2.669,1
Spain,ESP,1937,2.662,1
Spain,ESP,1938,2.649,1
Spain,ESP,1939,2.624,1
Spain,ESP,1940,2.59,1
Spain,ESP,1941,2.542,1
Spain,ESP,1942,2.508,1
Spain,ESP,1943,2.48,1
Spain,ESP,1944,2.447,1
Spain,ESP,1945,2.421,1
Spain,ESP,1946,2.376,1
Spain,ESP,1947,2.317,1
Spain,ESP,1948,2.28,1
Spain,ESP,1949,2.221,1
Spain,ESP,1950,2.151,1
Spain,ESP,1951,2.116,1
Spain,ESP,1952,2.086,1
Spain,ESP,1953,2.032,1
Spain,ESP,1954,1.974,1
Spain,ESP,1955,1.934,1
Spain,ESP,1956,1.905,1
Spain,ESP,1957,1.868,1
Spain,ESP,1958,1.823,1
Spain,ESP,1959,1.787,1
Spain,ESP,1960,1.751,1
Spain,ESP,1961,1.71,1
Spain,ESP,1962,1.68,1
Spain,ESP,1963,1.658,1
Spain,ESP,1964,1.638,1
Spain,ESP,1965,1.602,1
Spain,ESP,1966,1.574,1
Spain,ESP,1967,1.555,1
Spain,ESP,1968,1.527,1
Spain,ESP,1969,1.497,1
Spain,ESP,1970,1.476,1
Spain,ESP,1971,1.449,1
Spain,ESP,1972,1.42,1
Spain,ESP,1973,1.402,1
